# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
1.060000000000000000e+02 2.890668315987931692e+03 8.648288205888221558e-01 5.398402813105485781e-03 -2.710178365130061451e+01
1.070000000000000000e+02 2.923154342581386572e+03 8.785163648049901797e-01 5.497464286906865970e-03 -2.775786223679480358e+01
1.080000000000000000e+02 2.955799800494356077e+03 8.919604354434672588e-01 5.597424026424790457e-03 -2.841103311604322101e+01
1.090000000000000000e+02 2.988611370206642732e+03 9.051538747927596607e-01 5.698287016172088638e-03 -2.906062482444063733e+01
1.100000000000000000e+02 3.021573435408873593e+03 9.180744472513704402e-01 5.800053456830211139e-03 -2.970618803833202648e+01
1.110000000000000000e+02 3.054677992300989445e+03 9.307149761861106541e-01 5.902728403972268278e-03 -3.034720029367525740e+01
1.120000000000000000e+02 3.087924902559922430e+03 9.430679137903869025e-01 6.006312215361200857e-03 -3.098291963235934432e+01
1.130000000000000000e+02 3.121306822846801424e+03 9.551111421540100510e-01 6.110809961165986244e-03 -3.161297542038585107e+01
1.140000000000000000e+02 3.154816340086824312e+03 9.668296934452326186e-01 6.216222160343668444e-03 -3.223670064208359065e+01
1.150000000000000000e+02 3.188446111179692707e+03 9.782236725036528302e-01 6.322554042252922710e-03 -3.285357666286499523e+01
1.160000000000000000e+02 3.222196128759320345e+03 9.892781134460021386e-01 6.429806082745352820e-03 -3.346308475446381436e+01
1.170000000000000000e+02 3.256059049276398127e+03 9.999709188369123591e-01 6.537983529298497208e-03 -3.406463238963937101e+01
1.180000000000000000e+02 3.290020055157469869e+03 1.010301938517133902e+00 6.647086969205896062e-03 -3.465762695707156382e+01
1.190000000000000000e+02 3.324079208598853711e+03 1.020256489004956801e+00 6.757121642282881875e-03 -3.524162420121704997e+01
1.200000000000000000e+02 3.358229097015359002e+03 1.029827020727347664e+00 6.868088179568743179e-03 -3.581603168296817330e+01
1.210000000000000000e+02 3.392462377951712369e+03 1.038998860307067895e+00 6.979991798300803560e-03 -3.638025724215209777e+01
1.220000000000000000e+02 3.426764236910053114e+03 1.047764464397181294e+00 7.092833137170938447e-03 -3.693385670523664288e+01
1.230000000000000000e+02 3.461134735393502069e+03 1.056116573170455375e+00 7.206617360581792087e-03 -3.747623810224272489e+01
1.240000000000000000e+02 3.495566462623748976e+03 1.064040247460506627e+00 7.321345115638923720e-03 -3.800680939677839376e+01
